	VBN	IN	AT	NN	AP	CS	WDT	BEZ	MD	BE	OD	VBG	NR	.	NP	,	NNS-TL	NN-TL	IN-TL	NP-TL	VBD	NNS	PP$	JJ	TO	VB	PPO	VBZ	PPSS	CD	CC	DT	EX	PPS	HVZ	BEN	RB	HVD	JJ-TL	ABX	QL	JJR	WRB	``	RP	''	*	DTI	BER	NN$	BEDZ	BED	BEG	HV	WPS	NR$	ABL	PN	ABN	OD-TL	JJT	NP-HL	--	DOD	NNS$-TL	PPS+HVZ	VBZ-HL	NN-HL	NP$	HVG	BEM	MD*	RBR	:	NPS	'	VBN-TL	RB-HL	NN$-TL	DTS	RBT	CC-TL	PPSS+MD	PPSS+BER	NPS-HL	NPS$	PPSS+BEM	WP$	NNS$	PPL	VBN-HL	NN-TL-HL	CC-HL	DOD*	,-HL	CD-HL	PPS+BEZ	AT-TL	AP-TL	UH-TL	BEZ-HL	JJ-HL	NNS-HL	TO-HL	VB-HL	NR-TL	DO	DO*	VBN-TL-HL	NNS-TL-HL	DT-HL	IN-HL	VBG-TL	AP-HL	DOZ	MD-HL	BE-HL	HVN	DOZ*	(	)	QLP	VBG-HL	DTX	PPLS	JJR-HL	JJS	(-HL	)-HL	RP-HL	PPSS+HVD	VBD-HL	FW-NN	FW-IN+NN
VBD	13	38	16	30	0	0	0	0	0	0	0	2	0	0	31	1	1	2	1	0	62	1	0	5	0	4	0	3	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
NNS	4	83	100	76	0	0	0	0	6	0	7	4	0	7	28	1	0	2	1	0	1	105	5	64	3	2	3	1	3	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	4	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PP$	2	17	4	19	0	1	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	5	36	7	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
JJ	21	68	54	103	1	11	0	0	0	0	1	14	1	3	49	2	7	16	0	11	5	64	7	119	2	6	7	4	1	7	1	0	0	4	0	0	12	0	7	0	3	0	0	0	7	0	0	0	2	0	0	0	0	0	3	0	1	0	4	0	2	0	0	1	1	0	2	0	2	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
TO	1	121	1	26	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VB	1	46	110	60	0	0	0	0	1	14	0	0	0	4	17	2	0	0	0	0	4	2	3	6	0	38	2	1	3	0	1	0	0	0	0	0	5	0	0	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PPO	0	2	4	10	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	7	0	2	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
VBZ	1	14	6	4	0	1	0	0	3	0	0	0	0	1	11	1	0	2	0	0	3	1	1	4	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PPSS	0	14	4	14	1	1	0	0	0	0	0	2	0	0	2	0	1	1	0	0	0	3	1	1	1	3	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
CD	0	25	23	18	0	0	0	0	1	0	0	1	0	3	12	0	0	0	0	0	0	1	0	7	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
